case_id,issue_type,severity,expected_fault,ai_root_cause,ai_confidence,ai_evidence,osi_layer,affected_entity,next_command,fix_steps,rule_status,failed_rules,human_decision
C01,VLAN,Medium,VLAN 10 is not configured,VLAN 10 is not configured,High,show vlan brief: VLAN 10 missing,2,VLAN,show vlan brief,Verify the configuration related to: VLAN 10 is not configured. | Correct the identified configuration. | Repeat the relevant show command. | Test connectivity again.,FAIL,missing_vlan,Accepted
C02,VLAN,Medium,Port assigned to wrong VLAN,Port assigned to wrong VLAN,High,show interfaces fa0/3 switchport: Access VLAN 1,2,VLAN,show vlan brief,Verify the configuration related to: Port assigned to wrong VLAN. | Correct the identified configuration. | Repeat the relevant show command. | Test connectivity again.,PASS,,Accepted
C03,VLAN,High,VLAN 20 missing from trunk allowed list,VLAN 20 missing from trunk allowed list,High,show interfaces trunk: VLAN 20 not allowed,2,VLAN,show vlan brief,Verify the configuration related to: VLAN 20 missing from trunk allowed list. | Correct the identified configuration. | Repeat the relevant show command. | Test connectivity again.,PASS,,Accepted
C04,VLAN,High,Native VLAN mismatch,Native VLAN mismatch,High,show interfaces trunk: native VLAN 10; peer native VLAN 99,2,VLAN,show vlan brief,Verify the configuration related to: Native VLAN mismatch. | Correct the identified configuration. | Repeat the relevant show command. | Test connectivity again.,PASS,,Accepted
C05,Gateway,High,Incorrect default gateway,Incorrect default gateway,High,ipconfig: Default Gateway 192.168.20.1,3,Gateway,show ip interface brief,Verify the configuration related to: Incorrect default gateway. | Correct the identified configuration. | Repeat the relevant show command. | Test connectivity again.,FAIL,gateway_mismatch,Accepted
C06,Gateway,High,Gateway interface is shut down,Gateway interface is shut down,High,show ip interface brief: G0/0.10 administratively down,3,Gateway,show ip interface brief,Verify the configuration related to: Gateway interface is shut down. | Correct the identified configuration. | Repeat the relevant show command. | Test connectivity again.,FAIL,interface_down,Accepted
C07,Gateway,Medium,Incorrect subnet mask,Incorrect subnet mask,High,ipconfig: IP 192.168.10.20 mask 255.255.0.0,3,Gateway,show ip interface brief,Verify the configuration related to: Incorrect subnet mask. | Correct the identified configuration. | Repeat the relevant show command. | Test connectivity again.,FAIL,wrong_mask,Accepted
C08,Gateway,High,Wrong VLAN ID on router subinterface,Wrong VLAN ID on router subinterface,High,show run interface G0/0.30: encapsulation dot1q 20,3,Gateway,show ip interface brief,Verify the configuration related to: Wrong VLAN ID on router subinterface. | Correct the identified configuration. | Repeat the relevant show command. | Test connectivity again.,PASS,,Accepted
C09,DHCP,High,DHCP pool exhausted,DHCP pool exhausted,High,show ip dhcp pool: 0 available addresses,7,DHCP,show ip dhcp pool,Verify the configuration related to: DHCP pool exhausted. | Correct the identified configuration. | Repeat the relevant show command. | Test connectivity again.,PASS,,Accepted
C10,DHCP,High,Wrong DHCP network configuration,Wrong DHCP network configuration,High,show ip dhcp pool: network 192.168.10.0 255.255.255.0,7,DHCP,show ip dhcp pool,Verify the configuration related to: Wrong DHCP network configuration. | Correct the identified configuration. | Repeat the relevant show command. | Test connectivity again.,PASS,,Accepted
C11,DHCP,High,Incorrect DHCP default gateway,Incorrect DHCP default gateway,High,show run: default-router 192.168.20.254,3,DHCP,show ip dhcp pool,Verify the configuration related to: Incorrect DHCP default gateway. | Correct the identified configuration. | Repeat the relevant show command. | Test connectivity again.,FAIL,gateway_mismatch,Accepted
C12,DHCP,High,DHCP pool overlaps static address,DHCP pool overlaps static address,High,show ip dhcp binding: duplicate address observed,3,DHCP,show ip dhcp pool,Verify the configuration related to: DHCP pool overlaps static address. | Correct the identified configuration. | Repeat the relevant show command. | Test connectivity again.,FAIL,duplicate_ip,Accepted
C13,DNS,Medium,Incorrect DNS server configured,Incorrect DNS server configured,High,ipconfig /all: DNS Server 192.168.10.99,7,DNS,nslookup server.local,Verify the configuration related to: Incorrect DNS server configured. | Correct the identified configuration. | Repeat the relevant show command. | Test connectivity again.,PASS,,Accepted
C14,DNS,Medium,Missing DNS record,Missing DNS record,High,nslookup server.local: NXDOMAIN,7,DNS,nslookup server.local,Verify the configuration related to: Missing DNS record. | Correct the identified configuration. | Repeat the relevant show command. | Test connectivity again.,PASS,,Accepted
C15,DNS,High,DNS server network is unreachable,DNS server network is unreachable,High,ping 192.168.10.53: Destination unreachable,3,DNS,nslookup server.local,Verify the configuration related to: DNS server network is unreachable. | Correct the identified configuration. | Repeat the relevant show command. | Test connectivity again.,PASS,,Accepted
C16,Routing,High,Missing route,Missing route,High,show ip route: no route to 10.20.0.0/24,3,Routing,show ip route,Verify the configuration related to: Missing route. | Correct the identified configuration. | Repeat the relevant show command. | Test connectivity again.,FAIL,missing_route,Accepted
C17,Routing,High,Incorrect next-hop address,Incorrect next-hop address,High,show ip route 10.20.0.0: via 10.0.0.9,3,Routing,show ip route,Verify the configuration related to: Incorrect next-hop address. | Correct the identified configuration. | Repeat the relevant show command. | Test connectivity again.,PASS,,Accepted
C18,Routing,Critical,Broken transit interface,Broken transit interface,High,show interfaces G0/1: line protocol down,1,Routing,show ip route,Verify the configuration related to: Broken transit interface. | Correct the identified configuration. | Repeat the relevant show command. | Test connectivity again.,FAIL,interface_down,Accepted
C19,Routing,High,Incorrect route mask,Incorrect route mask,High,show ip route: route exists for 10.30.0.0/16,3,Routing,show ip route,Verify the configuration related to: Incorrect route mask. | Correct the identified configuration. | Repeat the relevant show command. | Test connectivity again.,FAIL,wrong_mask,Accepted
C20,ACL,High,ACL blocks HTTPS traffic,ACL blocks HTTPS traffic,High,show access-lists: deny tcp any host 10.10.10.50 eq 443,4,ACL,show access-lists,Verify the configuration related to: ACL blocks HTTPS traffic. | Correct the identified configuration. | Repeat the relevant show command. | Test connectivity again.,PASS,,Accepted
C21,ACL,High,ACL denies guest traffic,ACL denies guest traffic,High,show access-lists: deny ip 192.168.50.0 0.0.0.255 any,4,ACL,show access-lists,Verify the configuration related to: ACL denies guest traffic. | Correct the identified configuration. | Repeat the relevant show command. | Test connectivity again.,PASS,,Accepted
C22,ACL,Critical,ACL contains over-permissive rule,ACL contains over-permissive rule,High,show access-lists: permit ip any 10.0.0.0 0.255.255.255,4,ACL,show access-lists,Verify the configuration related to: ACL contains over-permissive rule. | Correct the identified configuration. | Repeat the relevant show command. | Test connectivity again.,PASS,,Accepted
C23,ACL,High,ACL applied in wrong direction,ACL applied in wrong direction,High,show run interface G0/1: ip access-group 101 out,4,ACL,show access-lists,Verify the configuration related to: ACL applied in wrong direction. | Correct the identified configuration. | Repeat the relevant show command. | Test connectivity again.,PASS,,Accepted
C24,NAT,High,NAT inside interface not configured,NAT inside interface not configured,High,show run: ip nat inside missing on LAN interface,3,NAT,show ip nat translations,Verify the configuration related to: NAT inside interface not configured. | Correct the identified configuration. | Repeat the relevant show command. | Test connectivity again.,PASS,,Accepted
C25,NAT,High,NAT overload rule missing or inactive,NAT overload rule missing or inactive,High,show ip nat translations: no entries,3,NAT,show ip nat translations,Verify the configuration related to: NAT overload rule missing or inactive. | Correct the identified configuration. | Repeat the relevant show command. | Test connectivity again.,PASS,,Accepted
C26,NAT,High,NAT pool exhausted,NAT pool exhausted,High,show ip nat statistics: pool exhausted,3,NAT,show ip nat translations,Verify the configuration related to: NAT pool exhausted. | Correct the identified configuration. | Repeat the relevant show command. | Test connectivity again.,PASS,,Accepted
